ProblemUID,ProblemTitle,Description,distribution,parameter(s),hint,comment
16,GW Bridge Traffic P2,"The George Washington Bridge connecting New Jersey and New York is the busiest bridge in the world, carrying about 100 million vehicles a year.  On average, there is approximately one fatal accident per 20 million vehicles.  X = the time (in years) until the next fatal accident on the George Washington Bridge.",Exponential,r = 5 per year (mean = 1/r = 1/5 year),time to rare event,Assumption of constant rate may not be appropriate (affects the mean - but exponential distribution still likely to be reasonable)
17,Penn Turnpike Call-boxes P1,Emergency call-boxes are systematically placed 1 mile apart along the Pennsylvania Turnpike where cell phone service is very spotty. Your car breaks down suddenly as you are driving east on the Pennsylvania Turnpike though luckily you had been keeping an eye out for the call boxes before your breakdown.  X= the distance you will need to walk to reach the closest call-box.,Continuous Uniform,A = 0; B = 0.5,no preference for any particular place to break down,
18,Penn Turnpike Call-boxes P2,Emergency call-boxes are systematically placed 1 mile apart along the Pennsylvania Turnpike where cell phone service is very spotty. Your car breaks down as you are driving east on the Pennsylvania Turnpike so you walk eastward until you reach a call-box.  X= the distance in miles you will need to walk to reach the next call-box.,Standard Uniform,none (or A=0; B=1 in general uniform),no preference for any particular place to break down,"alternate answer is Beta (1,1)"
19,B-negative Blood Type P3,X = How many people have a B negative blood type in a sample of just one randomly selected person.  ,Bernoulli,p = probabilitity that a random person has B- blood (about 2%),variable can only be zero or one,alternate answer is Binomial with n=1
20,2012 Presidential Race P1,There were 29 national polls published in the week before the 2012 U.S. Presidential race to gauge the voter support for President Barrack Obama and former Massachusetts Governor Mitt Romney.  Before the results of these polls were known: let X = the average percentage of the two-party vote amongst respondents that favor the President?s bid for re-election across the 29 polls.,Normal,mu = percentage of the two-party vote who favored the President's re-election for all voters;  sigma^2 = sum of variances for individual polls/841,each of the 29 individual polls had a large sample size,assumes the average bias across all polls is negligble
21,Broken Wikipedia Links P1,X = the number of broken links in a randomly selected  page in Wikipedia,Poisson,lamda = average number of broken links per page in all of Wikipedia,broken links are rare,
22,HS Pizza Delivery P1,20 high school students apply for a summer job delivering pizza and 12 of them own a car.  Five of the students are picked randomly and called in for an interview. X = how many of the interviewed students own a car.,Hypergeometric,N=20; M=12; n=5,interviewees sampled without replacement,
23,Account Auditing Case P1,A small auditing firm does random checks on accounts and assigns cases that show irregularities to an accountant for further study.  X = how many accounts are checked before all five of the firm's accountants have a case for review.,Negative Binomial,k = 5; p = probabilitity that a random account shows irregularites,checks until 5th success,
24,CPU Job Processing P1,"Ten % of the jobs run on a computer take up 90% of the processing time and 10% of those top 10% take up 90% of the time dedicated to those jobs, etc? X= the time taken by a randomly selected job.",Pareto,k = log(10)/log(9),compare with 80-20 rule,
25,Petrol Pump Purchases P1,X = the number of gallons of gas purchased by the next 100 customers at a service station,Normal,mu = 100*average amount purchased; sigma=10*st.dev of amounts purchased,sum of gas purchased by independent customers,
26,Cook premature infant weight P1,X= the number of premature infants weighing less than 4 pounds are born tomorrow at the Cook County Hospital maternity ward in Chicago,Poisson,mu = average number of premature infants per day,number of rare events in a fixed tme period,
27,Online hardware sales P1,"An online store only sells desktop computers, laptops, and tablets. X = how many of each type of machine will be in their next 100 sales",multinomial,n=100; p1=probability that the next machine sold is a desktop; p2=probability it's a laptop; p3=1-p1-p2,counting multiple categories,
28,Customer Service Calls P1,X = the differnce between the time to the next call to a customer service line and the time to the call after that.,Laplace,mu = 0; b = average time between calls,difference between X1= time to event governed by large independently acting population and independent X2 = time to same type of event,
29,Plane Crash intervals P1,X = the ratio of the time to the next major plane crash and the time between now and the one after that.,Standard Uniform,none (or A=0; B=1 in general uniform),time between plane crashes is nearly memoryless,
30,Highway Car Colors P1,X = how many of the next 20 cars that pass you on the highway are silver colored,Binomial,n=20; p= population proportion of passing cars that are silver,car colors are independent,
31,Highway Car Colors P2,X = how many cars pass you on the highway before one of them is silver colored,Geometric,p= population proportion of passing cars that are silver,each passing car is another trial,
32,Restaurant salt use P1,A popular restaurant is completely full every Friday night.  X = the ratio of the variance of the amount of salt the restaurant will use on Friday nights this month compared to next month.,F,df1 = number of Fridays this month minus 1; df2 = number of Fridays next month minus 1,What distribution models total salt use from Friday to Friday?,
33,Restaurant salt use P2,A popular restaurant is completely full every Friday night.  X = the amount of salt the restaurant will use next Friday night.,Normal,mu = average amount used on Friday nights; sigma = standard deviation of amounts from Friday-to-Friday,sum of amounts used by approximately constant number of nearly independent customers,
34,Customer Service Calls P2,X = the number of calls to a customer service line in the next hour.,Poisson,mu = call rate per hour,number of events governed by large independently acting population,
35,Horse Race P1,Three horses are randomly picked from the 12 competing in a race and you place a bet on each of these three horses to win the race.  X=the number of winning tickets purchased.,Bernoulli,p = 25% (3/12),only one winner possible,
36,Horse Race P2,"Three horses are randomly picked from the 12 competing in a race and you place a bet on each of these three horses to show (i.e. come in first, second, or third).  X=the number of winning tickets purchased.",Hypergeometric,N=12; M=3; n=3,chosen horses each hold separate position,randomly picked means srs here
37,Alarm Clock P1,When you wake up tomorrow morning you look at the digital clock next to your bed and watch it until the time changes. X = how long you have to wait in minutes,Standard Uniform,none (or A=0; B=1 in general uniform),no time within the minute you awaken is more likely than another,
38,Happiness Experiment P1,"40 subjects taking part in an experiment on the effect of exercise on happiness record how many times they laugh during the day before and the day after taking part in an active exercise program. Assuming the program has no effect on happiness, let X = the average difference between the recorded laughter values before and after the program.",Normal,mu =0; sigma^2 = variance of difference for individuals divided by 40,with no effect expect no difference,assume of independent individuals
39,Happiness Experiment P2,"80 subjects taking part in an experiment on the effect of exercise on happiness record how many times they laugh during the day before and the day after either taking part in an education program on the value of exercise (40 random subjects) or taking part in an active exercise program (40 random subjects). Assuming neither program has an effect on happiness, let X = the ratio of the average difference between the recorded before and after laughter values for those in the education program versus the average difference for those in the exercise program. ",Standard Cauchy,no parameters; or regular cauchy with parameters 0 and 1,CLT for numerator and denominator,note same variance for numerator and denominator
